date,LoOP LoINV,OP1 INV2,OP1 INV3,OP1 INV4,LoOP HiINV,OP2 INV1,OP2 INV2,OP2 INV3,OP2 INV4,OP2 INV5,OP3 INV1,OP3 INV2,OP3 INV3,OP3 INV4,OP3 INV5,OP4 INV1,OP4 INV2,OP4 INV3,OP4 INV4,OP4 INV5,HiOP LoINV,OP5 INV2,OP5 INV3,OP5 INV4,HiOP HiINV
196307,-0.95,0.3,-1.97,0.83,-2.28,-1.17,-2.04,3.27,1.36,0.15,-0.77,-0.66,0.46,-0.29,2.16,-2.92,0.45,-0.71,1.11,-2.34,2.65,0.68,-0.43,-0.44,1.51
196308,7.75,5.78,4.6,1.31,6.75,8.95,5.64,2.67,4.08,5.57,6.77,4.53,5.2,4.65,4.91,3.77,4.04,6.4,7.32,6.77,5.66,6.33,7.38,4.79,7.12
196309,-0.88,-2.27,-1.54,-2.7,-2.85,0.82,1.4,-3.2,-2.63,-2.73,-1.2,0.03,-2.92,2.52,-1.09,-0.71,-1.99,-2.41,-3.2,-0.82,-5.59,-2.79,-3.16,-0.4,-0.73
196310,2.46,1.42,2.21,-0.71,1.25,1.49,0.32,-2.05,3.37,-2.06,0.35,0.24,1.18,3.14,2.99,4.12,-0.5,1.89,6.83,1.35,2.81,3.55,0.72,5.41,12.76
196311,-1.01,-1.68,3.31,-4.18,0.36,-1.35,-2.57,-1.65,0.11,-1.05,-3.35,-1.02,-0.97,3.29,-0.97,4.69,0,-0.67,1,-2.27,-0.19,-0.46,-2.73,-0.69,-5.39
196312,-0.28,3.59,-0.46,0.68,0.34,0.18,1.9,3.8,4.98,7.41,6.48,2.34,1.55,0.41,1.24,3.21,2.94,2.85,2.68,1.58,-0.27,5.82,0.36,2.84,-0.04
196401,0.86,1.79,1.1,4.82,1.9,5.62,2.12,4.42,5.76,-0.84,0.19,0.42,1.14,3.97,0.02,3.92,1.36,1.29,1.27,-0.73,5.87,2.15,2.32,4.89,0.44
196402,4.75,1.23,3.26,-0.86,1.51,1.14,4.26,2.01,1.63,1.62,-0.15,2.49,2.09,0.03,0.8,3.18,1.55,1.34,0.15,2.79,3.92,0.33,2.07,3.47,1.65
196403,6.03,2.75,3.82,0.45,1.16,6.53,3.61,2.2,1.9,1.57,1.18,1.91,0.25,-0.58,1.92,1.05,2.84,1.4,2.01,2.94,7.83,5.16,0.65,1.76,0.49
196404,-3.29,4.91,18.94,5.53,2.43,-4.18,0.51,3.43,2.51,4.15,-0.75,-0.53,-0.05,1.15,-1.72,-1.75,-0.56,-1.1,-2.77,0.18,-1.03,0.21,-0.48,-2.07,4.21
196405,1.09,3.19,2.17,-2.98,3.45,2.19,1.16,2.78,2.41,3.56,-2.44,1.69,1.14,0.63,0.06,2.22,0.22,-0.05,-0.47,0.29,2.73,1.22,0.65,2.72,3.78
196406,0.9,0.71,0.45,3.94,-1.45,0.07,3.44,0.25,0.62,1.77,4.24,1.7,3.64,4.88,1.57,-1.72,1.93,0.63,2.1,1.67,0,1.76,3.12,0.34,0.99
196407,3,4.11,2.04,-0.27,0.01,0.85,1.64,1.81,4.91,-0.48,3.81,3.76,-0.32,2.15,1.75,3.71,4.9,3.12,2.03,3.15,2.94,-0.09,5.73,-0.48,1.49
196408,-1.84,-0.51,-0.8,-1.63,0.28,-0.38,0.29,-2.1,-3.24,0.51,2.81,-0.2,-1.44,2.14,-1.24,-0.04,1.37,-1.44,-1.64,-2.3,-1.41,-3.14,0.79,-2.88,-1.21
196409,4.71,4.59,-0.31,6.14,7.9,2.73,4.45,2.87,5.18,3.75,0.28,3.45,0.29,3.52,3.52,1.73,0.4,3.69,5.44,3.11,4.09,6.51,3.5,0.45,5.97
196410,1.7,3.9,3.43,0.49,-1.98,2.52,-1.01,3.47,1.91,0.43,2.27,2.07,-1.02,0.49,2.14,0.58,2.04,0.9,2.49,3.37,-0.09,-1.53,0.76,-1.54,0.94
196411,-1.31,-1.19,5.34,0.57,-3.54,1.5,-1.43,1.53,2.36,2.72,0.73,-0.54,-1.41,0.87,0.47,2.79,-0.59,1.49,1.2,1.03,2.06,3.74,-0.79,0.61,-0.55
196412,-1.15,-2.59,2.2,-3.7,-1.73,-2.44,-2.95,-0.4,-0.92,1.15,0,-0.64,2.71,-0.28,1.79,-2.3,0.4,1.36,0.13,0.34,0.77,-1.03,2.76,-0.68,1.34
196501,8.99,5.7,1.36,6.47,10.77,4.09,4.64,-1.73,2.04,2.13,4.26,3.92,1.15,4.5,5.02,5.65,4.58,4.43,4.08,7.47,4.66,4.17,4.63,7.27,6.65
196502,2.32,3.63,2.02,0.55,3.61,2.11,0.92,-3.07,-3.48,2.4,0.77,1.17,1.21,0.21,0.55,3.43,1.59,0.53,1.68,4.22,-0.64,2.53,-0.64,1.67,3.88
196503,1.49,-0.54,-4.29,-1.94,-0.21,-0.06,0.16,-3.05,-1.18,-2.43,0.83,-0.12,-1.37,2.23,-1.88,1.11,-1.56,-1.4,0.35,-0.61,-2.59,-3.46,0.23,-0.42,-3.36
196504,4.91,5.83,0.29,6.6,3.53,4.4,1.59,1.04,2.38,9.51,3.96,0.98,2.64,3.88,3.44,1.09,1.95,2.77,3.63,5.58,1.54,2.77,7.96,3.35,4.62
196505,-2.09,-0.03,1.07,1.06,-3.23,0.64,-0.47,0.03,2,-0.81,-1.29,-0.56,1.4,-1.54,1.23,-0.74,-0.51,-1.28,-0.9,-2.03,2.47,0.28,-2.95,-0.11,0.74
196506,-9.06,-8.49,-3.79,-8.58,-11.17,-7.95,-3.3,-1.26,-4.85,-5.1,-5.05,-4.59,-3.94,-6.72,-5.72,-6.24,-4.51,-5.01,-4.73,-8.31,-5.5,-6.89,-5.21,-4.73,-6.81
196507,2.72,5.2,4.21,6.79,6.03,2.03,1.29,3.29,-0.35,3.59,2.62,0.6,3.16,1.65,3.28,0.55,0.71,0.66,1.46,-0.32,1.16,1.61,1.07,1.57,3.5
196508,3.03,-2.05,3.78,6.71,2.6,5.19,4.26,2.81,0.82,4.76,1.72,0.67,3.63,3.36,1.33,4.59,0.97,1.8,2.3,3.96,2.12,2.8,4.77,6.94,6.4
196509,5.83,3.57,2.39,6.03,2.74,2.82,1.58,3.92,1.36,6.17,2.96,5.05,2.42,2.08,2.94,6.79,0.42,3.29,1.74,4.69,4.21,5.5,4.29,3.95,3.35
196510,6.87,2.25,2.16,8.7,5.11,4.26,3.47,3.04,-1.47,3.34,3.92,1.75,0.26,2.28,3.35,0.99,1.51,3.28,3.27,2.38,3.2,6.48,3.09,5.39,4.92
196511,3.34,0.58,2.32,1.17,3.02,-0.98,0.4,0.22,-3,1.45,-0.99,-0.98,1.16,1.04,2.47,3.82,1.35,-0.65,3.81,2.19,0.32,-5.22,3.34,0.09,3.83
196512,2.91,2.69,1.67,7.81,5.88,5.21,1.29,1.88,0.2,3.19,1.8,1.69,-0.47,2.94,1.47,-0.86,-0.19,0.92,1.53,3.03,0.02,0.74,0.87,2.43,-0.51
196601,9.37,1.69,0.52,12.07,8.65,7.86,-0.52,5.58,-1.99,2.5,-1.44,-1.51,0.24,0.51,4.89,4.9,0.09,-1.98,2.29,1.17,1,-0.89,3.76,1.52,2.02
196602,0.27,-1.17,-3.39,2.25,6.19,0.32,-2.9,-0.14,0.14,4.86,-1.94,-3.77,-2.8,-2.29,-2.98,-1.29,-2.53,-0.91,-1.47,-1.05,-2.85,-2,-1.34,-2.33,4.12
196603,-0.75,-4.08,-3.77,2.69,-5.58,-2.84,-0.87,-2,-4.98,-4.44,-1.27,-1.47,-2.35,-2.69,-3.1,-1.23,0.05,-3.83,0.94,-1.66,-4.13,-4.71,-0.79,0.81,0.53
196604,3.47,1.25,1.59,5.65,0.81,4.65,0.5,0.78,1.73,0.61,3.61,2.91,3.68,5,4.41,4.69,3.06,1.69,1.95,6.03,-1.06,-3.21,1.81,2.83,6.13
196605,-9.02,-5.72,-6.55,-10.15,-10.48,-10.01,-4.74,-5.42,-3.51,-7.23,-5.05,-5.48,-4.18,-5.37,-7.28,-6.7,-3.88,-4.88,-4.44,-6.02,-4.24,-6.74,-5.53,-3.83,-3.71
196606,0.78,1.65,-4.38,3.58,0.8,-1.01,-1.26,-2.01,-0.35,-0.84,2,-1.41,-1.04,1.06,-1.08,-1.46,0.7,-2.55,0.09,-2.59,-2.12,-1.63,-1.04,-2.51,-0.65
196607,-1.37,-0.54,-1.92,0.08,-3.2,0.55,-0.49,-0.82,-4.11,-3.05,-0.51,-0.11,-0.92,1.12,-3.56,0.39,0.29,-0.05,-2.28,-1.96,-1.99,-0.45,-0.4,-1.28,-3.38
196608,-8.6,-8.09,-8.58,-14.16,-10.47,-7.3,-6.16,-6.05,-3.21,-10,-7,-6.56,-8.16,-8.01,-6.87,-7.94,-7.65,-6.52,-7.5,-7.52,-6.48,-6.69,-8.42,-7.14,-10.95
196609,-2.48,-1.13,0.85,-3.85,-5.52,-2.18,0.68,3.19,-2.08,-1.39,2.31,2.57,0.46,0.69,-0.75,0.11,3.04,0.1,-5.56,-5.08,2.73,-2.06,-1.29,-1.36,-2.65
196610,0.03,5.45,3.37,1.64,1.46,5.8,9.37,9.84,2.5,4.79,8.83,8.45,6.38,4.49,1.8,2.38,5.53,2.74,1.31,-0.11,5.3,3.92,1.85,1.52,2.01
196611,3.76,-0.36,2.97,2.39,7.22,-2.79,-2.91,-1.09,1.55,3.45,-2.33,-0.8,-2.69,0.04,5.03,3.86,2.46,2.17,3.26,2.54,-1.72,4.35,2.1,3.56,11.71
196612,1.49,-0.89,2.27,3,2.65,1.99,0.44,-0.23,-3.27,3.87,1.34,1.51,3.62,-0.79,-0.13,2.12,0.15,-0.01,3.35,1.54,4.95,2.51,-1.66,0.1,-2.42
196701,15.6,10.41,6.99,14.15,15.83,13.09,5.1,6.22,9.65,11.68,5.99,5.47,7.8,9.05,11.75,6.39,3.89,4.69,10.54,13.21,5.05,7.42,9.33,9.51,8.83
196702,3.03,0.06,-0.88,1.11,2.88,-2.93,-0.85,-0.05,-0.04,2.1,-1.63,-1.65,0.06,0.82,4.66,1.55,0.55,-1.04,2.83,2.6,1.07,2.62,0.43,3.21,2.76
196703,6.37,4.95,3.56,4.35,3.01,2.89,3.72,2.59,4.06,4.59,2.43,4.62,3.15,5.85,4.16,1.41,0.81,5.6,5.25,7.95,4.25,3.58,5.14,5.12,5.5
196704,4.21,0.88,2.57,2.27,6.87,0.71,0.94,2.04,9.38,2.24,2.77,1.97,3.64,2.42,3.17,3.18,1.48,3.32,5.3,5.66,-0.34,4.93,3.32,8.54,7.79
196705,-2.84,-2.07,-1.98,-4.31,0.08,-1.92,-5.04,-2.44,-5.18,-0.91,-3.16,-1.56,-4.47,-2.34,-0.14,-4.08,-4.24,-4.55,-4.22,-5.63,0.43,-2.48,-4.81,-5.94,-6.13
196706,4.19,1.97,4.9,7.46,9.39,3.53,2.37,1.19,0.43,8.68,0.25,1.1,-0.3,5.75,3.57,2.79,-1.02,0.51,-0.08,6.27,2.4,5.4,1.42,2.06,3.15
196707,8.56,7.41,7.56,7.97,8.89,6.95,-1.91,6.65,5.55,8.61,7.69,3.91,7.11,6.41,3.71,4.3,4.46,10.49,4.63,5.5,9.22,5.12,5.31,1.97,3.55
196708,-0.06,-1.8,-1.65,-1.07,0.33,0.56,-1.19,-0.62,-0.55,-1.79,-1.51,-0.1,-1.19,0.31,-1.8,0.94,-0.51,-0.06,-1.85,-1.98,-0.21,-0.48,-0.92,-0.16,-1.32
196709,3.25,3.74,5.89,2.09,9.62,2.16,2.94,1.52,5.61,0.69,1.63,3.31,1.56,1.53,0.3,5.81,0.91,2.92,2.63,3.17,4.1,-0.14,2.76,5.49,5.24
196710,-3.88,-3.58,-1.54,-7.22,-1.71,-8.17,-2.28,-4.81,-1.48,-6.36,-5.78,-5.16,-2.97,-0.55,-3.29,1.16,-4.9,-3.68,-5.09,-0.63,-5.32,-7.59,-3.21,-3.24,4.5
196711,-2.29,-0.36,2.16,0.19,-1.18,-0.27,-0.12,2.63,-0.71,3.13,-0.13,2.13,1.37,0.63,6.19,1.54,-1.03,-0.3,-1.31,1.47,-1.27,-0.04,2.31,0.66,1.87
196712,5.54,2.75,4.94,8.85,6.37,1.49,1.47,2.23,5.21,4.36,3.46,5.11,3.96,2.8,0.94,7.98,5.47,-0.32,4.25,2.37,1.9,6.51,2.4,2.17,3.27
196801,2.41,3.83,-3.62,-0.36,-4.25,1.71,1.92,-4.86,-4.65,-9.7,-2.01,-4.09,-2.36,-2.53,-9.03,-8.71,-2.12,-4.23,-5.93,-7.12,-2.79,2.34,-5.79,-6.42,-8.48
196802,-3.08,-4.71,-2.27,-5.65,-3.24,-1.56,-1.69,-1.99,-4.29,-8.29,0.09,-2.09,-4.3,-2.62,-2.96,-2.57,-2.73,-3.02,-4.88,-3.51,-2.49,-5.18,-2.61,-3.34,-3.88
196803,-0.28,1.12,0.45,-2.29,1.85,-2.24,-0.48,0.15,-2.97,1.56,-0.86,-1.05,-0.13,0.83,-1.28,-1.05,-2.88,0.53,-1.34,2.61,-1.19,4.14,2.68,1.83,4.44
196804,12.01,8.42,7.8,9.78,17.21,7.84,2.19,7.72,7.9,9.97,7,8.49,6.06,10.54,12.86,8.31,6.62,9.16,12.54,14.4,8.81,11.72,10.01,12.43,11.61
196805,6.14,3,0.27,9.12,4.41,1.57,-0.95,-0.5,3.92,3.37,1.91,1.06,1.93,3.77,0.17,2.59,-0.26,-1.08,5.85,5.8,-0.01,2.38,1.84,2.18,5.14
196806,1.98,4.6,2.7,1.03,2.3,1.11,3.42,1.57,0.55,-1.75,4.5,1.8,4.12,0.46,-2.66,-0.32,4.03,0.74,-0.26,-2.65,0.71,2.75,-0.71,-0.86,-0.45
196807,-2.46,-3.6,-4.37,0.25,-7.23,0.49,1.32,-2.92,1.54,-0.35,-3.68,-4.92,6.19,-1.32,-3.7,-1.83,-1.9,-2.53,-3.64,-3.5,-1.84,-4.61,-7.05,-4.12,-5.9
196808,2.93,5.19,0.7,3.74,1.05,4.73,1.75,3.4,3.2,0.63,2.15,-0.25,1.37,1.39,2.92,1.95,0,0.06,1.33,2.17,0.8,1.74,1.77,0.82,2.54
196809,9.81,6.91,6.04,5.48,4.94,6.99,3.82,3.54,6.15,5.18,6.41,5.43,0.53,6.48,6.93,6.72,0.65,5.17,4.08,6.34,5.2,4.62,1.3,2.3,2.98
196810,2.17,0.1,-0.45,5.81,2.27,-0.25,2.49,4.93,1.26,2.21,3.94,0.52,2.11,1.2,0.16,-0.1,-0.11,1.88,1.31,0.7,5.25,-0.08,1.79,-4.89,-1.57
196811,4.6,7.73,7.59,5.58,9.19,3.31,6.14,3.35,7.59,3.69,8.31,4.15,5.71,5.18,4.12,2.85,8.81,5.75,6.36,8.95,-2.45,4.82,6.77,9.22,6.53
196812,0.32,-1.57,-1.04,-3.27,-3.12,-2.21,-4.75,-1.39,-5.1,-3.93,-2.23,-3.49,-4.2,-1.57,-4.35,-2.44,-5.87,-4.49,-4.27,-2.35,-2.6,-2.53,-5.1,-5.17,-4.29
196901,-0.56,1.93,1.72,-1.83,-1.7,-0.98,0.55,0.79,0.97,-2.18,-2.8,1.36,1.47,-0.21,-1.82,-2.21,-0.01,-0.2,-0.28,-3.32,-0.04,-4.74,-0.86,-3.46,-2.74
196902,-6.64,-8.87,-9.11,-5.28,-11.9,-7.67,-4.47,-6.94,-7.17,-3.74,-6.65,-4.06,-3.75,-5.02,-7.93,-3.49,-4.73,-4.6,-4.67,-6.56,-2.35,-4.98,-3.49,-3.19,-6.41
196903,1.94,3.25,1.9,8.82,1.8,2.32,1.79,2.35,7.61,5.54,-0.63,3.69,4.36,4.24,4.07,0.41,0.32,3.08,2.42,1.35,3.95,2.28,5.03,4.97,1.05
196904,2.19,4.56,1.88,1.51,0.68,0.31,4.78,-0.18,1.17,-0.58,2.25,3.76,0.41,1.21,-0.63,-1.21,3.49,3.17,1.09,1.12,-0.42,1.21,2.95,3.23,4.47
196905,-1.03,1.27,-0.36,2.72,-4.59,0.3,1.62,0.5,1.78,-0.99,-2.17,-0.12,1.02,-0.18,0.73,-1.85,0.17,-0.07,0.87,-0.69,1.71,1.68,3.1,-1.04,-0.7
196906,-9.42,-12.03,-11.27,-9.43,-9.86,-10.45,-5.68,-7.62,-10.97,-10.01,-10.11,-5.17,-7.6,-7.9,-7.94,-6.74,-1.7,-5.08,-5.9,-8.01,-5.11,-8.97,-4.85,1.6,-5.87
196907,-8.55,-10.03,-9.59,-9.39,-7.43,-6.31,-5.2,-7.31,-8.59,-11.12,-4.04,-4.32,-7.32,-7.33,-7.86,-6.91,-4.77,-7.29,-4.79,-8.84,-4.57,-6.56,-3.63,-3.87,-8.43
196908,3.06,4.14,3.88,7.26,5.35,4.62,3,6.98,3.23,9.92,4.28,2.68,6.13,4.31,9.55,4.67,1.69,4.46,4.76,7.5,3.13,2.19,5.32,7.11,9.38
196909,-1.68,-5.62,-5.44,-2.73,-0.15,-5.58,-4.07,-3.62,-4.9,-0.01,-3.2,-3.3,-3.55,-5,-5.48,-1.91,0.89,-2.29,-0.03,-3.34,-2.89,-1.26,1.64,-1.1,-1.31
196910,6.5,4.78,5.98,5.5,10.47,5.25,4.71,4.69,2.69,7.1,4.23,6.37,2.21,2.77,5.22,6.42,5.51,8.02,7.42,5.09,5.81,3.76,6.11,6.13,8.73
196911,-4.99,-5.68,-4.4,-1.04,-5.08,-5.97,-0.79,-5.26,-2.89,0.39,-3.56,-5.08,-3.82,-3.75,-4.07,-0.09,-3.42,-4.08,-4.03,-4.8,-6.42,-2.95,-1.9,-1.46,-2.41
196912,-5.57,-1.61,-0.77,-1.95,-1.5,-3.83,-4.5,-1.19,-4.33,-2.49,-3.53,-3.1,0.19,0.02,-4.09,-2.73,-1.15,-1.59,-2.46,-4.21,-2.85,-1.69,-0.53,1.97,-3.57
197001,-4.58,-7.04,-9.48,-6.34,-5.38,-6.47,-3.89,-8.37,-11.96,-11.49,-8.14,-2.68,-9.07,-12.11,-10.55,-9.02,-4.12,-7.29,-5.75,-14,-7.06,-7.61,-7.38,-7.85,-9.09
197002,7.88,5.05,8.7,7.68,5.99,6.09,8.27,9.82,8.11,11.35,7.78,6.98,3,6.2,2.85,4.96,3.15,7.98,3.71,3.35,10.47,6.99,2.93,3.37,3.26
197003,0.41,-1.2,-0.97,-2.43,-2.05,0.66,1.35,1.59,-0.79,-6.47,1.32,0.84,1.6,-0.44,-4.14,-0.81,1.36,0.24,-0.48,-5.03,0.51,3.6,-2.79,-1.72,-2.84
197004,-14.12,-8.6,-7.65,-13.22,-14.83,-8.46,-8.6,-8.47,-10.3,-19.23,-7.26,-8.95,-7.65,-11.98,-17.48,-8.17,-7.96,-11.17,-10.32,-15.32,-10.24,-4.88,-9.78,-11.19,-16
197005,-9.25,-2.02,-4.5,-8.27,-12.21,-2.14,-4.98,-5.05,-5.22,-9.37,-8.09,-5.44,-1.79,-3.55,-8.63,-4.24,-5.26,-7.74,-9.07,-7.95,-3.63,-4.27,-5.69,-8.04,-12.27
197006,-9.86,-6.39,-2.5,-2.74,-6.6,-7.21,-7.91,-3.87,-0.45,-14.3,-2.57,-3.18,-4.31,-5.35,-7.89,0.57,0.08,-3.14,-4.83,-6.87,-4.32,-2.35,-5.77,-6.89,-8.67
197007,7.07,8.91,6.62,7.66,5.86,10.38,10.46,8.84,8.57,2.41,9.51,10.3,10.42,6.2,8.61,9.86,8.7,6.86,6.02,7.21,9.17,7.93,2.06,7.6,4.84
197008,4.26,5.65,5.84,5.21,3.82,3.88,4.06,3.63,5.14,4.28,3.55,7.01,3.18,5.87,6.01,4.62,4.64,4.02,4.27,7.31,7.69,7.33,3.75,5.6,7.64
197009,8.88,2.6,12.39,7.01,11.82,3.22,5.9,0.63,1.45,10.57,2.78,2.48,0.35,2.36,7.24,5.71,0.8,1.72,5.46,9.65,1.33,0.05,7.16,5.99,11.55
197010,-4.16,0.5,-5.74,-6.38,-3.92,-4.31,-1.51,-1.61,-3.79,-8.44,0.48,1.05,-2.75,-1.54,-4.91,-0.07,-1.87,-0.29,-2.86,-1.49,-5.56,-1.41,0.14,-0.46,-2.65
197011,2.37,5.34,2.09,1.69,0.73,3.24,7.94,4.3,5.44,2.75,4.03,5.64,6.12,4.75,8.05,4.64,5.71,3.67,4.18,2.99,7.06,7.1,5.2,4.37,4.43
197012,7.93,6.86,7.86,9.2,5.91,7.46,3.34,5.75,7.53,5.93,9.2,5.28,6.92,9.36,4.63,6.85,4.57,6.73,8.63,7.5,8.27,5.36,6.44,6.56,3.66
197101,9.34,2.68,7.57,9.18,10.03,5.8,3.69,8.09,2.33,5.67,4.89,-0.87,8.29,6.98,9.38,4.88,5.28,3.27,3.3,8.2,11.06,3.74,2.33,4.94,8.27
197102,1.45,2.17,4.13,5.68,-0.02,2.95,1.5,0.53,2.61,1.31,0.97,3.87,-3.6,0.58,0.45,5.37,0.66,1.87,4.73,4,2.42,0.64,2.02,3.68,2.49
197103,5.19,1.83,4.75,3.6,7.43,3.06,3.57,2.69,6.45,8.1,1.32,3.34,1.7,3.23,7.47,3.69,4.33,4.23,5.2,6.69,4.77,2.45,6,5.74,7.63
197104,5.32,6.49,5.14,5.43,6.17,-1.52,5.03,3.47,0.74,0.37,3.21,1.47,1.12,3.7,7.02,7.8,2.6,-0.4,3.5,5.17,6.49,6.31,2.44,3.57,4.18
197105,-3.29,-5.9,-2.77,-4.42,-5.4,-4.29,-3.54,-4.17,-6.59,-5.4,-2.66,-3.09,-5.16,-3.95,-0.28,-3.77,-2.71,-2.1,-3.65,-2.44,0,-3.82,-4.29,-2.28,-2.69
197106,-1.95,-0.15,-3.74,-2.02,-1.63,2.27,-0.28,-0.3,1.52,-0.73,-0.17,0.47,2.62,0.79,1.08,1.42,1.76,1.45,-0.07,1.63,-0.01,-2.87,-1.09,2.48,2.27
197107,-8.43,-3.88,-2.29,-9.34,-5.03,-3.19,-3,-3.6,-5.96,-4.58,-7.47,-5.33,-2.23,-4.25,-6.78,-8.12,-5.28,-0.55,-2.86,-3.74,-4.09,-4.08,-2.59,-5.66,-5.86
197108,7.69,10.01,4.49,5.98,3.16,7.71,6.31,-1.04,3.96,5.81,11.1,5.67,0.89,0.12,4.77,6.09,7.51,4.17,3.38,3.37,5.46,3.55,6.22,5.25,3.76
197109,-2.87,-1.43,-1.92,-4.98,-0.39,-0.44,-1.07,-1.66,-1.15,-0.32,-1.16,-3.31,-0.34,-0.24,-0.97,-0.85,0.52,-0.87,-0.95,0.06,-3.84,1,1.11,0.31,0.57
197110,-7.39,-6.84,-4.28,-5.71,-6.25,-5.43,-4.07,-3.13,-2.53,-2.75,-5.03,-8.83,-4.13,-1.56,-5.5,-4.56,-4.71,-3.49,-2.68,-5.04,-2.94,-4.86,-3.77,-1.54,-4.89
197111,-2.84,-3.22,-1.47,-3.16,-4.6,0.99,-0.45,-0.08,-1.5,-1.59,-1.47,-2.91,-0.36,0.34,-1.46,1.75,-0.4,-1.52,0.47,1.59,2.34,0.85,1.84,1.29,0.74
197112,13.22,10.05,9.25,10.33,14.15,5.02,8.41,9.75,8.34,9.63,9.52,11.89,8.71,8.51,11.27,8.78,6.69,8.68,9.37,9.41,5.06,9.48,9.8,9.79,10.39
197201,12.77,4.79,3.45,2.9,4.2,0.92,1.41,0.37,4.72,3.35,4.48,0.6,0.08,0.66,3.87,6.46,1.09,1.74,-1.31,2.9,6.89,4.46,3.04,5.11,4.42
197202,2.96,2.23,2.19,2.89,2.68,0.23,2.07,0.59,2.05,1.4,3.94,3.18,5.35,0.04,4.16,3.12,2.02,2.22,4.45,5.87,6.19,2.92,5.96,2.38,5.33
197203,0.5,0.03,-0.05,-2.82,-1.38,3.92,-0.15,-3.27,-0.12,1.39,-1.63,-1.18,-1.13,-0.89,0.16,-4.09,4.76,2.64,1.33,2.4,-0.43,-0.29,3.36,1.92,0.11
197204,1.24,0.34,3.34,1.84,0.54,-2.61,1.21,0.68,-1.69,3.11,1.64,0.2,-0.06,-0.97,0.36,3.26,0.95,0.3,1.74,1.14,-4.2,-1.02,1.21,1.12,0.75
